corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌헬스케어증권자투자신탁(채권혼합)),20200207000459,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화아시아레전드4차산업혁명증권자투자신탁(주식)),20200207000458,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화유럽대표증권자투자신탁(UH)Ⅱ(주식-재간접형)),20200207000453,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화유럽대표증권자투자신탁(UH)(주식-재간접형)),20200207000445,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화차이나증권자투자신탁(주식-재간접형)),20200207000442,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화동유럽증권자투자신탁2호H(주식)),20200207000440,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화중남미증권자투자신탁(주식-재간접형)),20200207000435,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화유럽대표증권자투자신탁(H)II(주식-재간접형)),20200207000434,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화유럽대표증권자투자신탁(H)(주식-재간접형)),20200207000428,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화동유럽증권자투자신탁H(주식)),20200207000425,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화브라질증권자투자신탁(주식-재간접형)),20200207000419,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화월지급글로벌멀티인컴증권자투자신탁(주식혼합-재간접형)),20200207000416,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화연금저축글로벌헬스케어증권자투자신탁(주식)),20200207000409,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화천연자원증권자투자신탁(주식)),20200207000408,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌멀티인컴재형증권자투자신탁(주식혼합-재간접형)),20200207000404,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화글로벌멀티인컴증권자투자신탁(주식혼합-재간접형)),20200207000386,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화월지급아시아퍼시픽인컴증권자투자신탁(주식혼합-재간접형)),20200207000370,한화자산운용,20200207,
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화연금아시아퍼시픽인컴증권자투자신탁(주식혼합-재간접형)),20200207000349,한화자산운용,20200207,정
00243395,한화자산운용,,E,[기재정정]일괄신고서(집합투자증권-신탁형)(한화아시아퍼시픽인컴증권자투자신탁(주식혼합-재간접형)),20200207000343,한화자산운용,20200207,정
